Name,Address,Zipcode,Zip,City,County,State,Country,Timezone,Area Code
Henry County Day Treatment,403 Dothan RoadAbbeville, AL 36310,36310,Abbeville,Henry,Alabama,US,America/Chicago,334
SpectraCare,Henry County Clinic219 Dothan RoadAbbeville, AL 36310,36310,Abbeville,Henry,Alabama,US,America/Chicago,334
Rehab Day Montezuma Complex,Covington County205 Academy DriveAndalusia, AL 36420,36420,Andalusia,Covington,Alabama,US,America/Chicago,334
South Central Alabama CMHC,19815 Bay Branch RoadAndalusia, AL 36420,36420,Andalusia,Covington,Alabama,US,America/Chicago,334
Grandview Behavioral Health Center,1302 Noble StreetSuite 3-FAnniston, AL 36201,36201,Anniston,Calhoun,Alabama,US,America/Chicago,256
Highland Health Systems,331 East 8th StreetAnniston, AL 36207,36207,Anniston,Calhoun,Alabama,US,America/Chicago,256
Northeast Alabama Regional Medical Ctr,Behavioral Health400 East 10th StreetAnniston, AL 36207,36207,Anniston,Calhoun,Alabama,US,America/Chicago,256
Cottonwood Specialized Care CRF,1539 Sweetie Smith RoadAshford, AL 36312,36312,Ashford,Houston,Alabama,US,America/Chicago,334
MHCNCA Inc,Athens Limestone Counseling Center1307 East Elm StreetAthens, AL 35611,35611,Athens,Limestone,Alabama,US,America/Chicago,"2,56,205"
Cherokee Etowah Dekalb CMHC,425 5th Avenue NWAttalla, AL 35954,35954,Attalla,Etowah,Alabama,US,America/Chicago,256
Baldwin County CMHC,2009 Medical Center DriveBay Minette, AL 36507,36507,Bay Minette,Baldwin,Alabama,US,America/Chicago,251
North Baldwin Infirmary,Senior Behavioral Health1815 Hand AvenueBay Minette, AL 36507,36507,Bay Minette,Baldwin,Alabama,US,America/Chicago,251
UAB Medical West,995 9th Avenue SWBessemer, AL 35022,35022,Bessemer,Jefferson,Alabama,US,America/Chicago,205
Birmingham VAMC,Mental Hygiene (116A)700 19th Street SouthBirmingham, AL 35233,35233,Birmingham,Jefferson,Alabama,US,America/Chicago,205
Capitol Care South,Adult Outpatient Services2619 Commerce BoulevardBirmingham, AL 35210,35210,Birmingham,Jefferson,Alabama,US,America/Chicago,"2,05,334"
Eastside CMHC,129 East Park CircleBirmingham, AL 35235,35235,Birmingham,Jefferson,Alabama,US,America/Chicago,205
Gateway,1401 20th Street SouthBirmingham, AL 35205,35205,Birmingham,Jefferson,Alabama,US,America/Chicago,205
Gateway,5201 Airport HighwayBirmingham, AL 35201,35201,Birmingham,Bibb,Alabama,US,America/Chicago,205
