State,Type,County,,Motivation,Crime Count
Alabama,Cities,Bayou La Batre,,Ancestry,1
Alabama,Cities,Bayou La Batre,,Religion,0
Alabama,Cities,Bayou La Batre,,Sexual orientation,0
Alabama,Cities,Bayou La Batre,,Disability,0
Alabama,Cities,Bayou La Batre,,Gender,0
Alabama,Cities,Bayou La Batre,,Gender Identity,0
Alabama,Cities,Bayou La Batre,,1st Quarter,0
Alabama,Cities,Bayou La Batre,,2nd Quarter,1
Alabama,Cities,Bayou La Batre,,3rd Quarter, 
Alabama,Cities,Bayou La Batre,,4th Quarter, 
Alabama,Cities,Birmingham,,Ancestry,1
Alabama,Cities,Birmingham,,Religion,1
Alabama,Cities,Birmingham,,Sexual orientation,0
Alabama,Cities,Birmingham,,Disability,0
Alabama,Cities,Birmingham,,Gender,0
Alabama,Cities,Birmingham,,Gender Identity,0
Alabama,Cities,Birmingham,,1st Quarter,1
Alabama,Cities,Birmingham,,2nd Quarter,1
Alabama,Cities,Birmingham,,3rd Quarter, 
Alabama,Cities,Birmingham,,4th Quarter, 
Alabama,Cities,Carrollton,,Ancestry,1
Alabama,Cities,Carrollton,,Religion,0
Alabama,Cities,Carrollton,,Sexual orientation,0
Alabama,Cities,Carrollton,,Disability,0
Alabama,Cities,Carrollton,,Gender,0
Alabama,Cities,Carrollton,,Gender Identity,0
Alabama,Cities,Carrollton,,1st Quarter,0
Alabama,Cities,Carrollton,,2nd Quarter,1
Alabama,Cities,Carrollton,,3rd Quarter, 
Alabama,Cities,Carrollton,,4th Quarter, 
Alabama,Cities,Dora,,Ancestry,0
Alabama,Cities,Dora,,Religion,1
Alabama,Cities,Dora,,Sexual orientation,0
Alabama,Cities,Dora,,Disability,0
Alabama,Cities,Dora,,Gender,0
Alabama,Cities,Dora,,Gender Identity,0
Alabama,Cities,Dora,,1st Quarter,1
Alabama,Cities,Dora,,2nd Quarter,0
Alabama,Cities,Dora,,3rd Quarter, 
Alabama,Cities,Dora,,4th Quarter, 
Alabama,Cities,Evergreen,,Ancestry,1
Alabama,Cities,Evergreen,,Religion,0
Alabama,Cities,Evergreen,,Sexual orientation,0
Alabama,Cities,Evergreen,,Disability,0
Alabama,Cities,Evergreen,,Gender,0
Alabama,Cities,Evergreen,,Gender Identity,0
Alabama,Cities,Evergreen,,1st Quarter,0
Alabama,Cities,Evergreen,,2nd Quarter,1
Alabama,Cities,Evergreen,,3rd Quarter, 
Alabama,Cities,Evergreen,,4th Quarter, 
Alabama,Cities,Fayette,,Ancestry,1
Alabama,Cities,Fayette,,Religion,0
Alabama,Cities,Fayette,,Sexual orientation,0
Alabama,Cities,Fayette,,Disability,0
Alabama,Cities,Fayette,,Gender,0
Alabama,Cities,Fayette,,Gender Identity,0
Alabama,Cities,Fayette,,1st Quarter,0
Alabama,Cities,Fayette,,2nd Quarter,1
Alabama,Cities,Fayette,,3rd Quarter, 
Alabama,Cities,Fayette,,4th Quarter, 
Alabama,Cities,Hoover,,Ancestry,0
Alabama,Cities,Hoover,,Religion,1
Alabama,Cities,Hoover,,Sexual orientation,0
Alabama,Cities,Hoover,,Disability,0
Alabama,Cities,Hoover,,Gender,0
Alabama,Cities,Hoover,,Gender Identity,0
Alabama,Cities,Hoover,,1st Quarter,0
Alabama,Cities,Hoover,,2nd Quarter,1
Alabama,Cities,Hoover,,3rd Quarter,0
Alabama,Cities,Hoover,,4th Quarter,0
Alabama,Cities,Linden,,Ancestry,0
Alabama,Cities,Linden,,Religion,0
Alabama,Cities,Linden,,Sexual orientation,1
Alabama,Cities,Linden,,Disability,0
Alabama,Cities,Linden,,Gender,0
Alabama,Cities,Linden,,Gender Identity,0
Alabama,Cities,Linden,,1st Quarter,0
Alabama,Cities,Linden,,2nd Quarter,1
Alabama,Cities,Linden,,3rd Quarter, 
Alabama,Cities,Linden,,4th Quarter, 
Alabama,Cities,Margaret,,Ancestry,1
Alabama,Cities,Margaret,,Religion,0
Alabama,Cities,Margaret,,Sexual orientation,0
Alabama,Cities,Margaret,,Disability,0
Alabama,Cities,Margaret,,Gender,0
Alabama,Cities,Margaret,,Gender Identity,0
Alabama,Cities,Margaret,,1st Quarter,1
Alabama,Cities,Margaret,,2nd Quarter,0
Alabama,Cities,Margaret,,3rd Quarter, 
Alabama,Cities,Margaret,,4th Quarter, 
Alabama,Cities,Mobile2,,Ancestry,1
Alabama,Cities,Mobile2,,Religion,2
Alabama,Cities,Mobile2,,Sexual orientation,0
Alabama,Cities,Mobile2,,Disability,0
Alabama,Cities,Mobile2,,Gender,0
Alabama,Cities,Mobile2,,Gender Identity,0
Alabama,Cities,Mobile2,,1st Quarter,1
Alabama,Cities,Mobile2,,2nd Quarter,1
Alabama,Cities,Mobile2,,3rd Quarter, 
Alabama,Cities,Mobile2,,4th Quarter, 
Alabama,Cities,Tuskegee,,Ancestry,1
Alabama,Cities,Tuskegee,,Religion,0
Alabama,Cities,Tuskegee,,Sexual orientation,0
Alabama,Cities,Tuskegee,,Disability,0
Alabama,Cities,Tuskegee,,Gender,0
Alabama,Cities,Tuskegee,,Gender Identity,0
Alabama,Cities,Tuskegee,,1st Quarter,0
Alabama,Cities,Tuskegee,,2nd Quarter,1
Alabama,Cities,Tuskegee,,3rd Quarter, 
Alabama,Cities,Tuskegee,,4th Quarter, 
Alabama,Metropolitan Counties,Etowah,,Ancestry,1
Alabama,Metropolitan Counties,Etowah,,Religion,0
Alabama,Metropolitan Counties,Etowah,,Sexual orientation,0
Alabama,Metropolitan Counties,Etowah,,Disability,0
Alabama,Metropolitan Counties,Etowah,,Gender,0
Alabama,Metropolitan Counties,Etowah,,Gender Identity,0
Alabama,Metropolitan Counties,Etowah,,1st Quarter,1
Alabama,Metropolitan Counties,Etowah,,2nd Quarter,0
Alabama,Metropolitan Counties,Etowah,,3rd Quarter, 
Alabama,Metropolitan Counties,Etowah,,4th Quarter, 
Alabama,Metropolitan Counties,Washington,,Ancestry,8
Alabama,Metropolitan Counties,Washington,,Religion,0
Alabama,Metropolitan Counties,Washington,,Sexual orientation,0
Alabama,Metropolitan Counties,Washington,,Disability,0
Alabama,Metropolitan Counties,Washington,,Gender,0
Alabama,Metropolitan Counties,Washington,,Gender Identity,0
Alabama,Metropolitan Counties,Washington,,1st Quarter,8
Alabama,Metropolitan Counties,Washington,,2nd Quarter,0
Alabama,Metropolitan Counties,Washington,,3rd Quarter, 
Alabama,Metropolitan Counties,Washington,,4th Quarter, 
Alabama,Nonmetropolitan Counties,Crenshaw,,Ancestry,1
Alabama,Nonmetropolitan Counties,Crenshaw,,Religion,0
Alabama,Nonmetropolitan Counties,Crenshaw,,Sexual orientation,0
Alabama,Nonmetropolitan Counties,Crenshaw,,Disability,0
Alabama,Nonmetropolitan Counties,Crenshaw,,Gender,0
Alabama,Nonmetropolitan Counties,Crenshaw,,Gender Identity,0
Alabama,Nonmetropolitan Counties,Crenshaw,,1st Quarter,1
Alabama,Nonmetropolitan Counties,Crenshaw,,2nd Quarter,0
Alabama,Nonmetropolitan Counties,Crenshaw,,3rd Quarter, 
Alabama,Nonmetropolitan Counties,Crenshaw,,4th Quarter, 
Alabama,Nonmetropolitan Counties,Dallas,,Ancestry,1
Alabama,Nonmetropolitan Counties,Dallas,,Religion,0
Alabama,Nonmetropolitan Counties,Dallas,,Sexual orientation,0
Alabama,Nonmetropolitan Counties,Dallas,,Disability,0
Alabama,Nonmetropolitan Counties,Dallas,,Gender,0
Alabama,Nonmetropolitan Counties,Dallas,,Gender Identity,0
Alabama,Nonmetropolitan Counties,Dallas,,1st Quarter,1
Alabama,Nonmetropolitan Counties,Dallas,,2nd Quarter,0
Alabama,Nonmetropolitan Counties,Dallas,,3rd Quarter, 
Alabama,Nonmetropolitan Counties,Dallas,,4th Quarter, 
Alabama,Nonmetropolitan Counties,DeKalb,,Ancestry,2
Alabama,Nonmetropolitan Counties,DeKalb,,Religion,0
Alabama,Nonmetropolitan Counties,DeKalb,,Sexual orientation,0
Alabama,Nonmetropolitan Counties,DeKalb,,Disability,0
Alabama,Nonmetropolitan Counties,DeKalb,,Gender,0
Alabama,Nonmetropolitan Counties,DeKalb,,Gender Identity,0
Alabama,Nonmetropolitan Counties,DeKalb,,1st Quarter,1
Alabama,Nonmetropolitan Counties,DeKalb,,2nd Quarter,1
Alabama,Nonmetropolitan Counties,DeKalb,,3rd Quarter, 
Alabama,Nonmetropolitan Counties,DeKalb,,4th Quarter, 
Alabama,Nonmetropolitan Counties,Walker,,Ancestry,1
Alabama,Nonmetropolitan Counties,Walker,,Religion,0
Alabama,Nonmetropolitan Counties,Walker,,Sexual orientation,0
Alabama,Nonmetropolitan Counties,Walker,,Disability,0
Alabama,Nonmetropolitan Counties,Walker,,Gender,0
Alabama,Nonmetropolitan Counties,Walker,,Gender Identity,0
Alabama,Nonmetropolitan Counties,Walker,,1st Quarter,0
Alabama,Nonmetropolitan Counties,Walker,,2nd Quarter,1
Alabama,Nonmetropolitan Counties,Walker,,3rd Quarter, 
Alabama,Nonmetropolitan Counties,Walker,,4th Quarter, 
Alaska,Cities,Anchorage,,Ancestry,3
Alaska,Cities,Anchorage,,Religion,0
Alaska,Cities,Anchorage,,Sexual orientation,1
Alaska,Cities,Anchorage,,Disability,0
Alaska,Cities,Anchorage,,Gender,1
Alaska,Cities,Anchorage,,Gender Identity,0
Alaska,Cities,Anchorage,,1st Quarter,0
Alaska,Cities,Anchorage,,2nd Quarter,2
Alaska,Cities,Anchorage,,3rd Quarter,2
Alaska,Cities,Anchorage,,4th Quarter,1
Alaska,Cities,Fairbanks,,Ancestry,0
Alaska,Cities,Fairbanks,,Religion,0
Alaska,Cities,Fairbanks,,Sexual orientation,0
Alaska,Cities,Fairbanks,,Disability,0
Alaska,Cities,Fairbanks,,Gender,0
Alaska,Cities,Fairbanks,,Gender Identity,1
Alaska,Cities,Fairbanks,,1st Quarter,1
Alaska,Cities,Fairbanks,,2nd Quarter, 
Alaska,Cities,Fairbanks,,3rd Quarter,0
Alaska,Cities,Fairbanks,,4th Quarter,0
Alaska,Cities,Juneau,,Ancestry,2
Alaska,Cities,Juneau,,Religion,0
Alaska,Cities,Juneau,,Sexual orientation,0
Alaska,Cities,Juneau,,Disability,0
Alaska,Cities,Juneau,,Gender,0
Alaska,Cities,Juneau,,Gender Identity,0
Alaska,Cities,Juneau,,1st Quarter,0
Alaska,Cities,Juneau,,2nd Quarter,1
Alaska,Cities,Juneau,,3rd Quarter,1
Alaska,Cities,Juneau,,4th Quarter,0
Alaska,Cities,North Pole,,Ancestry,0
Alaska,Cities,North Pole,,Religion,0
Alaska,Cities,North Pole,,Sexual orientation,0
Alaska,Cities,North Pole,,Disability,0
Alaska,Cities,North Pole,,Gender,1
Alaska,Cities,North Pole,,Gender Identity,0
Alaska,Cities,North Pole,,1st Quarter,0
Alaska,Cities,North Pole,,2nd Quarter,1
Alaska,Cities,North Pole,,3rd Quarter,0
Alaska,Cities,North Pole,,4th Quarter,0
Arizona,Cities,Apache Junction,,Ancestry,1
Arizona,Cities,Apache Junction,,Religion,0
Arizona,Cities,Apache Junction,,Sexual orientation,0
Arizona,Cities,Apache Junction,,Disability,0
Arizona,Cities,Apache Junction,,Gender,0
Arizona,Cities,Apache Junction,,Gender Identity,0
Arizona,Cities,Apache Junction,,1st Quarter,0
Arizona,Cities,Apache Junction,,2nd Quarter,0
Arizona,Cities,Apache Junction,,3rd Quarter,0
Arizona,Cities,Apache Junction,,4th Quarter,1
Arizona,Cities,Casa Grande,,Ancestry,2
Arizona,Cities,Casa Grande,,Religion,1
Arizona,Cities,Casa Grande,,Sexual orientation,0
Arizona,Cities,Casa Grande,,Disability,0
Arizona,Cities,Casa Grande,,Gender,0
Arizona,Cities,Casa Grande,,Gender Identity,0
Arizona,Cities,Casa Grande,,1st Quarter,0
Arizona,Cities,Casa Grande,,2nd Quarter,0
Arizona,Cities,Casa Grande,,3rd Quarter,2
Arizona,Cities,Casa Grande,,4th Quarter,1
Arizona,Cities,Chandler,,Ancestry,2
Arizona,Cities,Chandler,,Religion,2
Arizona,Cities,Chandler,,Sexual orientation,0
Arizona,Cities,Chandler,,Disability,0
Arizona,Cities,Chandler,,Gender,0
Arizona,Cities,Chandler,,Gender Identity,0
Arizona,Cities,Chandler,,1st Quarter,2
Arizona,Cities,Chandler,,2nd Quarter,0
Arizona,Cities,Chandler,,3rd Quarter,1
Arizona,Cities,Chandler,,4th Quarter,1
Arizona,Cities,Fredonia,,Ancestry,0
Arizona,Cities,Fredonia,,Religion,0
Arizona,Cities,Fredonia,,Sexual orientation,1
Arizona,Cities,Fredonia,,Disability,0
Arizona,Cities,Fredonia,,Gender,0
Arizona,Cities,Fredonia,,Gender Identity,0
Arizona,Cities,Fredonia,,1st Quarter,0
Arizona,Cities,Fredonia,,2nd Quarter,0
Arizona,Cities,Fredonia,,3rd Quarter,0
Arizona,Cities,Fredonia,,4th Quarter,1
Arizona,Cities,Gilbert,,Ancestry,3
Arizona,Cities,Gilbert,,Religion,2
Arizona,Cities,Gilbert,,Sexual orientation,1
Arizona,Cities,Gilbert,,Disability,0
Arizona,Cities,Gilbert,,Gender,0
Arizona,Cities,Gilbert,,Gender Identity,0
Arizona,Cities,Gilbert,,1st Quarter,1
Arizona,Cities,Gilbert,,2nd Quarter,1
Arizona,Cities,Gilbert,,3rd Quarter,2
Arizona,Cities,Gilbert,,4th Quarter,2
Arizona,Cities,Glendale,,Ancestry,6
Arizona,Cities,Glendale,,Religion,0
Arizona,Cities,Glendale,,Sexual orientation,1
Arizona,Cities,Glendale,,Disability,0
Arizona,Cities,Glendale,,Gender,0
Arizona,Cities,Glendale,,Gender Identity,0
Arizona,Cities,Glendale,,1st Quarter,2
Arizona,Cities,Glendale,,2nd Quarter,2
Arizona,Cities,Glendale,,3rd Quarter,3
Arizona,Cities,Glendale,,4th Quarter,0
Arizona,Cities,Maricopa,,Ancestry,0
Arizona,Cities,Maricopa,,Religion,0
Arizona,Cities,Maricopa,,Sexual orientation,1
Arizona,Cities,Maricopa,,Disability,0
Arizona,Cities,Maricopa,,Gender,0
Arizona,Cities,Maricopa,,Gender Identity,0
Arizona,Cities,Maricopa,,1st Quarter,1
Arizona,Cities,Maricopa,,2nd Quarter,0
Arizona,Cities,Maricopa,,3rd Quarter,0
Arizona,Cities,Maricopa,,4th Quarter,0
Arizona,Cities,Mesa,,Ancestry,7
Arizona,Cities,Mesa,,Religion,2
Arizona,Cities,Mesa,,Sexual orientation,0
Arizona,Cities,Mesa,,Disability,0
