State,Type,County,Motivation,Crime Count,Year
Alabama,Total,Total,Race,8,2015
Alabama,Cities,Total,Race,8,2015
Alabama,Cities,Total,Religion,0,2015
Alabama,Cities,Total,Sexual orientation,2,2015
Alabama,Cities,Total,Disability,0,2015
Alabama,Cities,Total,Gender,0,2015
Alabama,Cities,Total,Gender Identity,0,2015
Alabama,Cities,Birmingham,Race,3,2015
Alabama,Cities,Birmingham,Religion,0,2015
Alabama,Cities,Birmingham,Sexual orientation,2,2015
Alabama,Cities,Birmingham,Disability,0,2015
Alabama,Cities,Birmingham,Gender,0,2015
Alabama,Cities,Birmingham,Gender Identity,0,2015
Alabama,Cities,Hoover,Race,4,2015
Alabama,Cities,Hoover,Religion,0,2015
Alabama,Cities,Hoover,Sexual orientation,0,2015
Alabama,Cities,Hoover,Disability,0,2015
Alabama,Cities,Hoover,Gender,0,2015
Alabama,Cities,Hoover,Gender Identity,0,2015
Alabama,Cities,Prattville,Race,1,2015
Alabama,Cities,Prattville,Religion,0,2015
Alabama,Cities,Prattville,Sexual orientation,0,2015
Alabama,Cities,Prattville,Disability,0,2015
Alabama,Cities,Prattville,Gender,0,2015
Alabama,Cities,Prattville,Gender Identity,0,2015
Alaska,Total,Total,Race,7,2015
Alaska,Total,Total,Religion,0,2015
Alaska,Total,Total,Sexual orientation,1,2015
Alaska,Total,Total,Disability,0,2015
Alaska,Total,Total,Gender,0,2015
Alaska,Total,Total,Gender Identity,0,2015
Alaska,Cities,Total,Race,7,2015
Alaska,Cities,Total,Religion,0,2015
Alaska,Cities,Total,Sexual orientation,1,2015
Alaska,Cities,Total,Disability,0,2015
Alaska,Cities,Total,Gender,0,2015
Alaska,Cities,Total,Gender Identity,0,2015
Alaska,Cities,Anchorage,Race,4,2015
Alaska,Cities,Anchorage,Religion,0,2015
Alaska,Cities,Anchorage,Sexual orientation,1,2015
Alaska,Cities,Anchorage,Disability,0,2015
Alaska,Cities,Anchorage,Gender,0,2015
Alaska,Cities,Anchorage,Gender Identity,0,2015
Alaska,Cities,Kotzebue,Race,1,2015
Alaska,Cities,Kotzebue,Religion,0,2015
Alaska,Cities,Kotzebue,Sexual orientation,0,2015
Alaska,Cities,Kotzebue,Disability,0,2015
Alaska,Cities,Kotzebue,Gender,0,2015
Alaska,Cities,Kotzebue,Gender Identity,0,2015
Alaska,Cities,North Pole,Race,1,2015
Alaska,Cities,North Pole,Religion,0,2015
Alaska,Cities,North Pole,Sexual orientation,0,2015
Alaska,Cities,North Pole,Disability,0,2015
Alaska,Cities,North Pole,Gender,0,2015
Alaska,Cities,North Pole,Gender Identity,0,2015
Alaska,Cities,Soldotna,Race,1,2015
Alaska,Cities,Soldotna,Religion,0,2015
Alaska,Cities,Soldotna,Sexual orientation,0,2015
Alaska,Cities,Soldotna,Disability,0,2015
Alaska,Cities,Soldotna,Gender,0,2015
Alaska,Cities,Soldotna,Gender Identity,0,2015
Arizona,Total,Total,Race,162,2015
Arizona,Total,Total,Religion,52,2015
Arizona,Total,Total,Sexual orientation,57,2015
Arizona,Total,Total,Disability,5,2015
Arizona,Total,Total,Gender,0,2015
Arizona,Total,Total,Gender Identity,0,2015
Arizona,Cities,Total,Race,157,2015
Arizona,Cities,Total,Religion,49,2015
Arizona,Cities,Total,Sexual orientation,57,2015
Arizona,Cities,Total,Disability,5,2015
Arizona,Cities,Total,Gender,0,2015
Arizona,Cities,Total,Gender Identity,0,2015
Arizona,Cities,Apache Junction,Race,2,2015
Arizona,Cities,Apache Junction,Religion,0,2015
Arizona,Cities,Apache Junction,Sexual orientation,0,2015
Arizona,Cities,Apache Junction,Disability,0,2015
Arizona,Cities,Apache Junction,Gender,0,2015
Arizona,Cities,Apache Junction,Gender Identity,0,2015
Arizona,Cities,Avondale,Race,1,2015
Arizona,Cities,Avondale,Religion,1,2015
Arizona,Cities,Avondale,Sexual orientation,0,2015
Arizona,Cities,Avondale,Disability,0,2015
Arizona,Cities,Avondale,Gender,0,2015
Arizona,Cities,Avondale,Gender Identity,0,2015
Arizona,Cities,Chandler,Race,1,2015
Arizona,Cities,Chandler,Religion,0,2015
Arizona,Cities,Chandler,Sexual orientation,0,2015
Arizona,Cities,Chandler,Disability,0,2015
Arizona,Cities,Chandler,Gender,0,2015
Arizona,Cities,Chandler,Gender Identity,0,2015
Arizona,Cities,El Mirage,Race,0,2015
Arizona,Cities,El Mirage,Religion,1,2015
Arizona,Cities,El Mirage,Sexual orientation,0,2015
Arizona,Cities,El Mirage,Disability,0,2015
Arizona,Cities,El Mirage,Gender,0,2015
Arizona,Cities,El Mirage,Gender Identity,0,2015
Arizona,Cities,Gilbert,Race,3,2015
Arizona,Cities,Gilbert,Religion,1,2015
Arizona,Cities,Gilbert,Sexual orientation,0,2015
Arizona,Cities,Gilbert,Disability,0,2015
Arizona,Cities,Gilbert,Gender,0,2015
Arizona,Cities,Gilbert,Gender Identity,0,2015
Arizona,Cities,Glendale,Race,5,2015
Arizona,Cities,Glendale,Religion,2,2015
Arizona,Cities,Glendale,Sexual orientation,1,2015
Arizona,Cities,Glendale,Disability,0,2015
Arizona,Cities,Glendale,Gender,0,2015
Arizona,Cities,Glendale,Gender Identity,0,2015
Arizona,Cities,Holbrook,Race,0,2015
Arizona,Cities,Holbrook,Religion,0,2015
Arizona,Cities,Holbrook,Sexual orientation,1,2015
Arizona,Cities,Holbrook,Disability,0,2015
